"","date","image","objective","time_pf","num_of_cells","meiotic","stage","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","centrosome","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","microscope","fixation","organism","phylum","classification","genome","chromosomes","day","cleavage_type","num_of_cells_CAT","num_of_cells_NUM","classification_CAT","phylum_CAT","organism_CAT","cleavage_type_CAT","fixation_CAT","microscope_CAT","stage_CAT","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"19","2014-06-03 00:00:00","miniata_t120m_20x__5","20x",120,"1",0,"m",212.7668,48.14572,26.0334,12.95242,3.71712158808933,2.00992555831266,1,12.95242,6.23516,2.07731958762887,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,5.59236,12.82386,11.246235,59.16974
"23","2014-06-03 00:00:00","miniata_t120m_20x__9","20x",120,"1",0,"m",179.08408,48.40284,27.70468,13.62736,3.55188679245283,2.03301886792453,1,14.84868,4.821,3.08,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,6.84582,16.60031,11.246235,79.88397
"24","2014-06-03 00:00:00","miniata_t120m_20x__10","20x",120,"1",0,"m",229.9,64.34428,27.38328,19.50898,3.29818780889621,1.40362438220758,1,16.07,7.8743,2.04081632653061,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,11.21686,21.71057,11.246235,70.20983
"25","2014-06-03 00:00:00","miniata_t120m_20x__11","20x",120,"1",0,"m",220.9,57.3699,28.15464,15.87716,3.61336032388664,1.77327935222672,1,13.53094,4.85314,2.78807947019868,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,9.94733,10.9276,11.835365,76.36464
"26","2014-06-03 00:00:00","miniata_t120m_20x__12","20x",120,"2",0,"m",197.1,77.42526,33.77914,19.31614,4.00831946755408,1.74875207986689,1,16.35926,8.16356,2.00393700787402,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,16.43961,21.27668,13.008475,83.70863
"27","2014-06-03 00:00:00","miniata_t120m_20x__12","20x",120,"2",0,"m",207.8,75.97896,31.30436,14.36658,5.28859060402684,2.17897091722595,1,13.85234,8.09928,1.71031746031746,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,11.94001,25.32632,13.008475,83.66042
"28","2014-06-03 00:00:00","miniata_t120m_20x__14","20x",120,"2",0,"m",169.89204,54.22018,30.17946,15.68432,3.45696721311475,1.92418032786885,1,14.81654,3.18186,4.65656565656566,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,6.66905,17.1949,13.008475,70.29018
"29","2014-06-03 00:00:00","miniata_t120m_20x__16","20x",120,"2",0,"m",193,49.55988,26.41908,21.56594,2.29806259314456,1.22503725782414,1,16.84136,2.8926,5.82222222222222,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,6.36372,18.04661,13.008475,66.44945
"30","2014-06-03 00:00:00","miniata_t120m_20x__17","20x",120,"2",0,"m",183.7,67.62256,27.57612,17.22704,3.92537313432836,1.60074626865672,1,14.9451,3.31042,4.51456310679612,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,9.33667,22.78726,13.008475,69.55096
"31","2014-06-03 00:00:00","miniata_t120m_20x__18","20x",120,"1",0,"m",201.5,49.68844,32.23642,18.41622,2.69808027923211,1.75043630017452,1,15.94144,4.62816,3.44444444444444,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,7.11901,15.25043,13.008475,60.87316
"32","2014-06-03 00:00:00","miniata_t120m_20x__19","20x",120,"1",0,"m",224.4,65.95128,43.09974,21.40524,3.08108108108108,2.01351351351351,1,15.29864,4.43532,3.44927536231884,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,8.1957,20.90707,13.008475,74.67729
"33","2014-06-03 00:00:00","miniata_t120m_20x__22","20x",120,"1",0,"m",212.4,58.55908,32.6221,20.50532,2.85579937304075,1.59090909090909,1,19.50898,4.53174,4.30496453900709,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,8.29212,19.01081,13.008475,54.92726
"34","2014-06-03 00:00:00","miniata_t120m_20x__23","20x",120,"1",0,"m",212.50968,68.1368,34.7112,22.40158,3.0416068866571,1.54949784791966,1,19.79824,3.8568,5.13333333333333,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,6.41193,22.54621,13.008475,82.05342
"35","2014-06-03 00:00:00","miniata_t120m_20x__24","20x",120,"1",0,"m",220.9,76.0111,33.16848,13.20954,5.75425790754258,2.51094890510949,1,14.49514,5.59236,2.59195402298851,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,10.6062,17.40381,13.008475,73.29527
"36","2014-06-03 00:00:00","miniata_t120m_20x__30","20x",120,"1",0,"m",200.9,52.58104,26.29052,17.1949,3.05794392523364,1.52897196261682,1,12.40604,6.17088,2.01041666666667,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,7.90644,16.96992,13.008475,62.3516
"37","2014-06-03 00:00:00","miniata_t120m_20x__32","20x",120,"2",0,"m",172.4311,49.84914,26.54764,23.17294,2.15117891816921,1.14563106796116,1,15.5879,6.52442,2.38916256157635,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,3.43898,16.95385,10.63834,56.34142
"38","2014-06-03 00:00:00","miniata_t120m_20x__32","20x",120,"2",0,"m",201.26068,50.7812,30.2116,17.45202,2.9097605893186,1.73112338858195,1,12.2132,6.46014,1.89054726368159,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,6.15481,17.91805,10.63834,72.97387
"40","2014-06-03 00:00:00","miniata_t120m_20x__37","20x",120,"1",0,"m",219.9,55.21652,27.70468,13.8202,3.9953488372093,2.0046511627907,1,13.0167,6.68512,1.94711538461538,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,8.3564,13.0167,10.63834,48.29035
"43","2014-06-03 00:00:00","miniata_t120m_20x__42","20x",120,"1",0,"m",202.22488,61.16242,41.68558,29.76164,2.05507559395248,1.40064794816415,1,13.6595,NA,NA,19.25186,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,3.58361,23.22115,10.63834,96.33965
"44","2014-06-03 00:00:00","miniata_t120m_20x__43","20x",120,"1",0,"m",197.2,57.24134,32.07572,13.6595,4.19058823529412,2.34823529411765,1,15.00938,3.08544,4.86458333333333,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,5.57629,11.37756,9.78663,55.98788
"45","2014-06-03 00:00:00","miniata_t4hr_20x__0","20x",240,"2",0,"m",162.40342,45.70308,30.01876,16.42354,2.78277886497065,1.82778864970646,1,15.33078,3.43898,4.45794392523365,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,4.96563,NA,10.1241,21.03563
"46","2014-06-03 00:00:00","miniata_t4hr_20x__1","20x",240,"2",0,"m",144.85498,41.4606,32.26856,13.56308,3.05687203791469,2.37914691943128,1,12.40604,4.04964,3.06349206349206,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,3.47112,5.36738,10.1241,21.91948
"47","2014-06-03 00:00:00","miniata_t4hr_20x__2","20x",240,"2",0,"m",148.90462,34.10054,22.9801,13.88448,2.45601851851852,1.65509259259259,1,10.7669,6.2673,1.71794871794872,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,2,2,NA,4.821,9.12776,32.07572
"48","2014-06-03 00:00:00","miniata_t4hr_40x__1","40x",240,"2",0,"m",180.69975,44.33814,32.5017,15.10278,2.93576017130621,2.15203426124197,1,15.23214,4.41441,3.45054945054945,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,NA,5.57865,11.395105,33.53658
"50","2014-06-03 00:00:00","miniata_t4hr_40x__2","40x",240,"2",0,"m",148.19805,39.00204,30.94938,16.47723,2.36702649656526,1.87831207065751,1,13.50195,4.86717,2.77408637873754,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,1.560405,5.069295,11.395105,33.84381
"51","2014-06-03 00:00:00","miniata_t4hr_40x__3","40x",240,"2",0,"m",149.96058,42.60795,31.64469,18.54699,2.2972972972973,1.70619006102877,1,13.80918,4.98036,2.77272727272727,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,NA,NA,11.395105,NA
"52","2014-06-03 00:00:00","miniata_t4hr_40x__4","40x",240,"1",0,"m",152.75799,35.54166,27.90942,15.95979,2.22695035460993,1.74873353596758,1,15.81426,3.8808,4.075,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,1.09956,4.62462,11.395105,26.332845
"54","2014-06-03 00:00:00","miniata_t4hr_40x__6","40x",240,"2",0,"m",154.5852,37.9995,28.63707,16.26702,2.33598409542744,1.76043737574553,1,14.65002,5.40078,2.7125748502994,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.934855,4.73781,11.395105,27.594105
"57","2014-06-03 00:00:00","miniata_t4hr_40x__9","40x",240,"2",0,"m",123.39327,36.49569,27.1656,17.38275,2.09953488372093,1.56279069767442,1,14.65002,4.41441,3.31868131868132,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.4255,4.73781,11.395105,28.24899
"58","2014-06-03 00:00:00","miniata_t4hr_40x__11","40x",240,"1",0,"m",153.50181,33.98934,24.07713,13.16238,2.58230958230958,1.82923832923833,1,11.99814,4.57611,2.62190812720848,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,2.49018,5.150145,7.8943,31.491075
"60","2014-06-03 00:00:00","miniata_t4hr_40x__14","40x",240,"2",0,"m",115.84188,27.3273,20.76228,13.24323,2.06349206349206,1.56776556776557,1,13.16238,3.89697,3.37759336099585,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,0,5.780775,7.8943,37.360785
"61","2014-06-03 00:00:00","miniata_t4hr_40x__15","40x",240,"2",0,"m",160.63278,44.04708,33.05148,14.10024,3.12385321100917,2.34403669724771,1,14.74704,5.12589,2.87697160883281,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.32848,6.27396,7.8943,37.07781
"62","2014-06-03 00:00:00","miniata_t4hr_40x__18","40x",240,"2",0,"m",163.30083,40.68372,30.27024,16.31553,2.49355797819623,1.85530227948464,1,13.63131,3.73527,3.64935064935065,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.401245,5.101635,7.8943,37.12632
"63","2014-06-03 00:00:00","miniata_t4hr_40x__18","40x",240,"2",0,"m",157.1724,45.95514,33.16467,15.24831,3.01378579003181,2.17497348886532,1,13.11387,1.73019,7.57943925233645,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.02125,5.764605,7.8943,31.474905
"64","2014-06-03 00:00:00","miniata_t4hr_40x__20","40x",240,"4",0,"m",99.08976,38.88885,30.52896,12.72579,3.0559085133418,2.3989834815756,1,11.30283,2.21529,5.1021897810219,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",3,4,1,1,1,1,2,1,2,1.996995,5.36844,7.8943,29.809395
"67","2014-06-03 00:00:00","miniata_t4hr_40x__25","40x",240,"1",0,"m",145.43298,49.94913,33.3102,18.99975,2.62893617021277,1.7531914893617,1,15.89511,NA,NA,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,4.51143,9.3786,7.8943,48.89808
"68","2014-06-03 00:00:00","miniata_t4hr_40x__28","40x",240,"2",0,"m",105.54159,34.94337,27.71538,12.936,2.70125,2.1425,1,10.80156,3.12081,3.46113989637306,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,1.21275,6.621615,7.8943,35.92974
"69","2014-06-03 00:00:00","miniata_t4hr_40x__31","40x",240,"2",0,"m",151.44822,40.47351,31.3698,16.13766,2.50801603206413,1.9438877755511,1,17.41509,4.13952,4.20703125,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.02125,6.330555,7.8943,32.445105
"70","2014-06-03 00:00:00","miniata_t4hr_40x__33","40x",240,"2",0,"m",177.61128,40.97478,32.71191,12.14367,3.37416777629827,2.69374167776298,1,11.98197,3.8808,3.0875,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.79741,7.16331,7.8943,41.904555
"71","2014-06-03 00:00:00","miniata_t4hr_40x__33","40x",240,"2",0,"m",176.85129,45.4377,33.56892,15.26448,2.97669491525424,2.19915254237288,1,17.51211,3.28251,5.33497536945813,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,3.436125,7.785855,7.8943,31.43448
"72","2014-06-03 00:00:00","miniata_t4hr_40x__37","40x",240,"1",0,"m",154.52052,41.24967,32.30766,15.10278,2.73126338329764,2.13918629550321,1,14.50449,6.69438,2.16666666666667,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,2.918685,6.039495,7.8943,28.75026
"73","2014-06-03 00:00:00","miniata_t4hr_40x__39","40x",240,"2",0,"m",149.02272,43.41645,32.12979,13.53429,3.2078853046595,2.37395459976105,1,11.54538,4.2042,2.74615384615385,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,0,6.120345,7.8943,36.018675
"74","2014-06-03 00:00:00","miniata_t4hr_40x__41","40x",240,"2",0,"m",132.33528,29.81748,19.22613,13.0977,2.27654320987654,1.4679012345679,1,11.28666,4.57611,2.46643109540636,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.482095,3.953565,7.8943,31.022145
"75","2014-06-03 00:00:00","miniata_t4hr_40x__46","40x",240,"1",0,"m",149.18442,47.94405,38.06418,18.06189,2.6544315129812,2.10743061772605,1,17.57679,5.70801,3.07932011331445,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,0,6.98544,7.8943,43.93389
"76","2014-06-03 00:00:00","miniata_t4hr_40x__47","40x",240,"2",0,"m",164.83698,41.29818,28.52388,11.8041,3.4986301369863,2.41643835616438,1,12.1275,4.5276,2.67857142857143,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.708475,6.64587,7.8943,26.66433
"77","2014-06-03 00:00:00","miniata_t4hr_40x__47","40x",240,"2",0,"m",166.04973,44.06325,33.56892,12.59643,3.49807445442875,2.66495507060334,1,14.11641,5.38461,2.62162162162162,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,1.03488,6.282045,7.8943,28.418775
"79","2014-06-03 00:00:00","miniata_t4hr_40x__50","40x",240,"2",0,"m",154.92477,41.58924,31.75788,14.24577,2.91940976163451,2.22928490351873,1,12.53175,2.16678,5.78358208955224,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.86209,6.38715,7.8943,28.32984
"80","2014-06-03 00:00:00","miniata_t4hr_40x__51","40x",240,"2",0,"m",149.66952,41.8803,29.13834,15.11895,2.77005347593583,1.92727272727273,1,14.74704,3.65442,4.0353982300885,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.37699,7.042035,7.8943,31.58001
"81","2014-06-03 00:00:00","miniata_t4hr_40x__53","40x",240,"2",0,"m",174.23175,42.30072,31.77405,13.38876,3.15942028985507,2.3731884057971,1,11.49687,3.8808,2.9625,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,3.145065,6.16077,7.8943,27.222195
"82","2014-06-03 00:00:00","miniata_t4hr_40x__54","40x",240,"1",0,"m",150.42951,40.92627,29.76897,14.18109,2.88597491448119,2.09920182440137,1,15.11895,4.33356,3.48880597014925,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,2.821665,6.621615,7.8943,29.81748
"83","2014-06-03 00:00:00","miniata_t4hr_40x__55","40x",240,"1",0,"m",157.94856,44.98494,35.60634,16.21851,2.77367896311067,2.19541375872383,1,17.44743,4.851,3.59666666666667,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,2.401245,7.90713,7.8943,37.77312
"84","2014-06-03 00:00:00","miniata_t4hr_40x__56","40x",240,"1",0,"m",160.81065,39.79437,28.81494,16.08915,2.47336683417085,1.79095477386935,1,13.45344,4.23654,3.17557251908397,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,NA,7.84245,7.8943,36.584625
"86","2014-06-03 00:00:00","miniata_t4hr_40x__59","40x",240,"1",0,"m",175.83258,39.14757,30.93321,16.10532,2.43072289156627,1.9206827309237,1,12.2892,6.6297,1.85365853658537,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,0,5.48163,7.8943,43.93389
"87","2014-06-03 00:00:00","miniata_t4hr_40x__61","40x",240,"2",0,"m",187.39413,49.04361,32.19447,16.3317,3.0029702970297,1.97128712871287,1,13.76067,4.98036,2.76298701298701,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,5.473545,8.384145,7.8943,43.64283
"89","2014-06-03 00:00:00","miniata_t4hr_40x__63","40x",240,"2",0,"m",146.85594,43.77219,34.70082,15.13512,2.89209401709402,2.29273504273504,1,13.13004,3.00762,4.36559139784946,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,3.28251,4.891425,7.8943,39.48714
"90","2014-06-03 00:00:00","miniata_t4hr_40x__65","40x",240,"2",0,"m",181.16868,44.40282,31.38597,16.62276,2.67120622568093,1.88813229571984,1,19.19379,4.44675,4.31636363636364,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.82975,7.97181,8.86116,39.834795
"91","2014-06-03 00:00:00","miniata_t4hr_40x__66","40x",240,"2",0,"m",164.19018,42.64029,31.22427,13.61514,3.13182897862233,2.29334916864608,1,13.03302,3.05613,4.26455026455027,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.417415,6.80757,8.86116,29.46174
"92","2014-06-03 00:00:00","miniata_t45hr_40x__1","40x",270,"1",0,"m",150.02526,41.18499,23.13927,24.44904,1.68452380952381,0.946428571428571,1,10.21944,5.77269,1.7703081232493,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,6.201195,11.682825,8.86116,53.74908
"93","2014-06-03 00:00:00","miniata_t45hr_40x__2","40x",270,"2",0,"m",105.41223,38.19354,24.88563,13.51812,2.82535885167464,1.84090909090909,1,11.28666,3.13698,3.5979381443299,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,3.339105,7.89096,8.86116,46.29471
"95","2014-06-03 00:00:00","miniata_t45hr_40x__6","40x",270,"2",0,"m",81.93339,33.11616,23.05842,10.12242,3.27156549520767,2.27795527156549,1,9.45945,4.57611,2.06713780918728,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,0,8.74797,8.86116,41.15265
"96","2014-06-03 00:00:00","miniata_t45hr_40x__8","40x",270,"1",0,"m",167.48886,57.87243,36.68973,22.49247,2.57296908698778,1.63120057512581,1,16.50957,6.98544,2.36342592592593,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,1,2,3.921225,19.250385,8.86116,71.107575
"97","2014-06-03 00:00:00","miniata_t45hr_40x__10","40x",270,"2",0,"m",118.07334,37.78929,26.13072,12.43473,3.03901170351105,2.10143042912874,1,9.94455,4.01016,2.47983870967742,0,"mm40","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",2,2,1,1,1,1,2,1,2,2.045505,10.46199,8.86116,44.24112
